# CSV-File created with merge-csv.com
# -----------------------------------------------------------

articleId,displayName,pictureUrl,country,reportCount,commentSn,createdDate,contents/0/categoryId,contents/0/extData/content,isSelf,ext/likeCount/up,ext/likeCount/down,ext/replyCount,ext/liked,status
56186848,sofyan,http://dl.profile.line-cdn.net/0h_qzMMZORAF5HNC_ws_d_CXtxDjMwGgYWP1FOaGdgWWhjV0ZbeVVLPTVnX2s_BUUBf1pNPzFhDm9o,ID,0,100000017,1539564477455,text,Olahragawan menantang itu biasa. Tapi sportifitas tinggi. Bukan sombong atau omong besar.,false,278,26,19,,
56186848,Faris I,http://dl.profile.line-cdn.net/0hW0AwfppICB98DiV4fb93SEBLBnILIA5XBGwSegwIAylZORtNR2AXfV0GBHpWahtKE28TcQ4JUSkG,ID,0,100000007,1539563176129,text,unbeatable vs unstoppable,false,157,20,0,,
56186848,Septian Nugroho P,http://dl.profile.line-cdn.net/0hSJngYko_DGVTHiFnd2RzMm9bAggkMAotK3pEUXQfUQJ-fBw2PyoRBHVNUlZ-fEtha3AWV3VNB1wr,ID,0,100000043,1539566588638,text,"khabib diliat dari track kemenangannya jago bagian kiting mengkiting banting membanting makanya kebanyakan kemenangannya dari submission, jadi kalo mau lawan mayweather pake rule tinju bakalan kalah",false,113,1,11,,
56186848,Dien Bagaskara,http://dl.profile.line-cdn.net/0hCKFJqbDBHGR7MzF41hljM0d2EgkMHRosA1FXAlZgRQNRCw8yE1VTCgpmSwFfBg5iQFNUVgk7EQcD,ID,0,100000008,1539563344332,text,"bertarung untuk uang vs bertarung menjadi""raja""",false,112,26,5,,
56186848,wesley,http://dl.profile.line-cdn.net/0hCOyldEvvHGBEFTN8PoBjN3hQEg0zOxooPHJRAGJGQ1U7cAhkcCRQUjYQFVJvLVM_eSFVD2AXEFg8,ID,0,100000016,1539564473086,text,Demi uang Dan popularitas. Gas terussss..,false,59,36,10,,
56186848,Posma,http://dl.profile.line-cdn.net/0hPDLR_0_xD2txKyOCKSlwPE1uAQYGBQkjCUhAWQcuV11dSEFtTx5GD10qVw8PSx1vHk5EWVEuWF1c,ID,0,100000040,1539566467447,text,"Bahkan mamak2 pun banyak yg jadi sok pecinta UFC karna ada unsur Agama.. sekarang agama bisa menyelut perang, padahal yg memancing hanya orang bodoh yg gampang utk tak di hiraukan. Dasar sumbu kompor",false,14,1,0,,
56186848,Anisa A. Hasara,http://dl.profile.line-cdn.net/0hrdFQfbCnLUt7KAAK7v1SHEdtIyYMBisDAx5gflYhcS9VSmIZE05neQsgIS4GGT8YFEpiflshey5R,ID,0,100000057,1539567114054,text,"Di hutan memang hanya ada satu rajanya,tp hutannya kan masing2,hutannya ada banyak..jd yg raja di MMA ya di MMA saja,raja di tinju ya di tinju saja,yg juara di bulutangkis ya bulutangkis saja,yg hebat di voli ya tantang tanding yg org voli juga,tak usah lah menantang yg bukan bidangnya..org hebat itu bukan org yg bisa segala hal,tp dgn menjalankan tugas/keahliannya dgn baik itu sudah hebat menurut saya,menurut saya lho yaa..gak tau deh yg lain..hehe..",false,13,1,1,,
56186848,kevin lumban gaol,http://dl.profile.line-cdn.net/0hBscO_g4ZHVxeNjGwIkZiC2JzEzEpGBsUJgIHbn0wQD4mVQ4LYVYHPXg1FDwjAV9fYVRSOnIwFDtw,ID,0,100000038,1539566379942,text,jangan jadi sombong,false,11,,0,,
56186848,James,http://dl.profile.line-cdn.net/0hY6t6j7fwBhlJTysFhHN5TnUKCHQ-YQBRMSpJeT9NWSswLREbci4dK25IC3s2KkNKdHpIfjhGWC5i,ID,0,100000071,1539568380700,text,Kok jd terlihat sombong. Kan beda versi dan aturan pertandingan... Gimana tuh.,false,9,,0,,
56186848,piw,http://dl.profile.line-cdn.net/0hArvBE5iEHl1LOzOCgxxhCnd-EDA8FRgVM11VaG8yRG1nX1kPdVlZbDk5FT5nCF5Yd1oDOW4yF24z,ID,0,100000052,1539566952110,text,jgn sombong bib. diazab allah kalah baru tau,false,8,0,0,,
